"oris_code","unit_id","facility_name","state","fips_code","ertac_region","fuel_type","gen_capacity_mw","annual_so2_2022_tons","avg_annual_so2_rate_2022","annual_nox_2022_tons","avg_annual_nox_rate_2022","annual_so2_2038_tons","avg_annual_so2_rate_2038","annual_nox_2038_tons","avg_annual_nox_rate_2038","longitude","latitude"
10771,"2","Hopewell Power Station","VA","51670","CONUS","EGU-Other",21.3498589377288,7.53424450000021,0.00563938718971771,156.4575305,0.117108569178574,0,NA,0,NA,-77.28344643,37.29764218
3457,"2","Lewis Creek","TX","48339","MISS","Boiler Gas",243.901519079375,3.35065450000001,0.000600032446800748,156.345826999999,0.0279982818646015,3.94552585256517,0.000600032446800717,183.970656755288,0.0279781117745413,-95.5215,30.4364
2718,"1","G G Allen","NC","37071","SRCA","Coal",190.011688001365,11.3254034999999,0.0195716562875289,156.3160095,0.270132822214424,0,NA,0,NA,-81.009836,35.191528
55097,"4","Lamar Power Plant","TX","48277","TRE","Combined Cycle Gas",271.857693738081,3.01691100000001,0.000600032908529647,156.273952499999,0.0310812994635898,1.57485734437427,0.00060003290852965,81.5442408168122,0.0310689905761557,-95.589,33.6314
10865,"FBC7","Archer Daniels Midland Co.","IL","17115","CONUS","Industrial",75,0,NA,154.791560499999,NA,0,0,0,0,-88.885,39.8675
10773,"2","Altavista Power Station","VA","51031","CONUS","EGU-Other",21.893385330265,7.06718450000031,0.00557358765153074,154.6957045,0.122001918634784,0,NA,0,NA,-79.2726,37.1183
10773,"1","Altavista Power Station","VA","51031","CONUS","EGU-Other",21.9494085334799,7.00705400000033,0.00555115415440592,154.1069705,0.122087192351299,0,NA,0,NA,-79.2726,37.1183
55215,"GT1","Odessa Ector Generating Station","TX","48135","TRE","Combined Cycle Gas",283.65486869494,3.20281349999999,0.000600028113019585,153.389268,0.0287365695927958,1.6718846468112,0.000600028113019582,80.0717099628718,0.0287371961498123,-102.3278,31.8378
2706,"CT5","Asheville","NC","37021","SRCA","Combined Cycle Gas",399.623202431141,3.65764749999998,0.000600069022561379,153.333273499999,0.0251556629104586,0.801015712686942,0.000600069022561388,33.5795957587888,0.0251556553583589,-82.5434,35.47062
55223,"GT-1","Ennis Power Company, LLC","TX","48139","TRE","Combined Cycle Gas",361.583858387547,3.25392949999998,0.000600017408644996,152.5523265,0.0281303118673272,1.69856425698866,0.000600017408645024,79.6085697070551,0.0281217077923492,-96.6739,32.3194
