"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-18,"Parts per million","None",17,100,0.025588,0.03,11,28,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-19,"Parts per million","None",17,100,0.029588,0.033,8,31,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-20,"Parts per million","None",17,100,0.027353,0.03,9,28,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-21,"Parts per million","None",17,100,0.029176,0.032,10,30,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-22,"Parts per million","None",17,100,0.028765,0.031,9,29,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-23,"Parts per million","None",17,100,0.027882,0.031,10,29,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-24,"Parts per million","None",17,100,0.017706,0.023,7,21,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-25,"Parts per million","None",17,100,0.015118,0.019,9,18,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-26,"Parts per million","None",17,100,0.023,0.026,15,24,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-27,"Parts per million","None",17,100,0.024882,0.029,12,27,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
